,Symbol,Giá tham chiếu,Giá trần,Giá sàn,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,FPT,80.7,86.3,75.1,80.0,81.0,79.5
1,VJC,131.9,141.1,122.7,132.2,132.3,131.0
2,HVN,32.05,34.25,29.85,31.65,32.0,31.5
